date,news_title,news_content,source
2020-01-15,央行宣布降准支持实体经济,中国人民银行决定于2020年1月6日下调金融机构存款准备金率0.5个百分点，释放长期资金约8000多亿元。此次降准是全面降准，体现了逆周期调节，释放长期资金约8000多亿元。,财经日报
2020-02-03,疫情影响下股市大幅波动,受新型冠状病毒疫情影响，A股市场今日大幅低开，上证指数下跌7.72%，深证成指下跌8.45%，创业板指下跌6.85%。政府已出台多项稳定市场措施。,证券时报
2020-03-12,美联储紧急降息应对疫情,美国联邦储备委员会宣布将联邦基金利率目标区间下调1个百分点到0至0.25%之间，并启动7000亿美元量化宽松计划。全球金融市场剧烈震荡。,国际财经
2020-04-20,原油期货价格历史性跌至负值,WTI原油期货5月合约价格暴跌至每桶负37.63美元，这是原油期货1983年在纽约商品交易所开始交易以来首次跌入负值。市场担忧原油储存空间不足。,能源观察
2020-05-25,两会政府工作报告未设GDP增速目标,2020年政府工作报告未提出全年经济增速具体目标，这是改革开放以来首次。报告强调要优先稳就业保民生，坚决打赢脱贫攻坚战，努力实现全面建成小康社会目标任务。,人民日报
2020-06-18,北京疫情反弹引发市场担忧,北京新发地批发市场相关疫情引发关注，多地采取防控措施。A股市场出现调整，医药、食品等板块逆势上涨。专家表示不会影响经济复苏大局。,健康时报
2020-07-23,中美关系紧张加剧市场不确定性,美国突然要求中国关闭驻休斯敦总领馆，中美关系骤然紧张。外交部宣布对等反制措施。市场担忧贸易摩擦升级，避险情绪升温。,环球时报
2020-08-24,央行推出数字货币试点,中国人民银行数字货币研究所与多家商业银行合作，在深圳、苏州等地开展数字人民币试点。这标志着数字货币从理论走向实践。,金融科技周刊
2020-09-15,科创板公司数量突破100家,科创板上市公司数量突破100家，总市值超过1.6万亿元。科创板运行一年多来，为科技创新企业提供了重要融资渠道。,上海证券报
2020-10-29,中共十九届五中全会通过"十四五"规划建议,"十四五"规划和2035年远景目标的建议获得通过，提出到2035年基本实现社会主义现代化远景目标。强调科技自立自强，构建新发展格局。,新华社
2020-11-15,RCEP正式签署成为全球最大自贸区,区域全面经济伙伴关系协定(RCEP)正式签署，涵盖15个成员国，人口、经济体量、贸易总额均占全球总量约30%，成为全球最大的自由贸易区。,商务部网站
2020-12-16,中央经济工作会议定调2021年经济工作,中央经济工作会议强调要扎实做好"六稳"工作、全面落实"六保"任务，科学精准实施宏观政策。会议提出要增强产业链供应链自主可控能力。,经济日报
